order_id,customer_id,dish_id,quantity,unit_price,discount,payment_method,order_date,order_time,total_bill
1,56,105,1,420,0,UPI,2026-03-26,20:07:36,420.0
2,456,108,1,695,5,Card,2026-03-21,13:18:49,660.25
3,262,130,3,220,0,UPI,2026-03-02,13:56:58,660.0
4,128,113,1,220,0,UPI,2026-05-07,19:57:44,220.0
5,142,120,5,120,0,Card,2026-06-16,20:51:15,600.0
6,407,105,3,420,0,UPI,2026-01-10,20:37:39,1260.0
7,291,101,1,695,0,UPI,2026-03-14,12:32:25,695.0
8,446,130,1,220,15,UPI,2026-06-05,12:27:25,187.0
9,82,104,1,390,10,UPI,2026-05-03,20:38:20,351.0
10,444,101,3,695,5,Cash,2026-02-07,19:28:50,1980.75
11,97,120,2,120,0,UPI,2026-02-07,12:19:26,240.0
12,325,104,2,390,0,Card,2026-06-14,18:06:09,780.0
13,493,114,1,180,0,Cash,2026-03-16,18:16:22,180.0
14,303,105,3,420,0,Card,2026-01-12,13:15:45,1260.0
15,274,129,1,180,0,Card,2026-04-13,13:29:35,180.0
16,10,115,1,150,0,Card,2026-04-15,19:52:12,150.0
17,86,106,1,300,0,UPI,2026-05-02,20:53:57,300.0
18,495,123,2,420,5,Cash,2026-04-02,19:42:20,798.0
19,488,105,3,420,0,Card,2026-02-21,20:55:00,1260.0
20,80,108,1,695,10,Cash,2026-06-29,13:38:14,625.5
21,364,104,1,390,0,Card,2026-01-14,13:58:42,390.0
22,94,101,2,695,0,UPI,2026-06-21,18:01:25,1390.0
23,32,117,1,130,0,UPI,2026-03-19,13:56:39,130.0
24,372,125,1,120,0,UPI,2026-06-15,13:22:09,120.0
25,23,102,1,380,0,UPI,2026-05-17,18:43:21,380.0
26,426,110,2,280,5,Card,2026-06-14,22:47:49,532.0
27,278,105,1,420,15,UPI,2026-06-22,20:20:42,357.0
28,162,105,1,420,0,UPI,2026-04-23,13:39:25,420.0
29,118,117,2,130,0,Cash,2026-04-05,20:13:29,260.0
30,321,109,2,650,0,UPI,2026-04-02,21:14:44,1300.0
31,462,127,1,90,5,UPI,2026-01-06,19:02:22,85.5
32,312,102,1,380,0,UPI,2026-05-02,18:43:42,380.0
33,455,116,1,120,0,UPI,2026-04-26,21:11:38,120.0
34,171,119,2,220,0,Cash,2026-03-26,13:48:11,440.0
35,432,116,2,120,0,UPI,2026-05-16,19:54:20,240.0
36,131,110,2,280,0,Cash,2026-03-31,20:10:41,560.0
37,275,129,2,180,10,UPI,2026-06-29,13:04:53,324.0
38,271,105,4,420,0,UPI,2026-03-16,21:28:19,1680.0
39,149,115,1,150,5,UPI,2026-04-09,14:23:20,142.5
40,6,122,2,320,5,UPI,2026-06-15,13:36:37,608.0
41,372,114,2,180,0,Cash,2026-02-02,19:21:59,360.0
42,313,119,1,220,0,Cash,2026-04-06,12:19:15,220.0
43,134,102,5,380,10,UPI,2026-01-22,12:07:06,1710.0
44,157,124,5,180,0,UPI,2026-02-22,13:46:15,900.0
45,499,108,1,695,0,UPI,2026-05-21,21:18:04,695.0
46,426,123,2,420,0,Card,2026-06-25,13:19:07,840.0
47,312,120,1,120,10,UPI,2026-03-17,12:57:40,108.0
48,489,102,2,380,0,UPI,2026-01-15,11:19:51,760.0
49,492,116,1,120,0,Cash,2026-02-19,12:35:52,120.0
50,211,120,4,120,0,Cash,2026-01-17,14:10:08,480.0
51,18,126,4,60,0,UPI,2026-04-29,20:34:43,240.0
52,30,123,2,420,5,UPI,2026-05-10,21:52:02,798.0
53,318,115,1,150,5,UPI,2026-03-29,14:35:18,142.5
54,393,129,1,180,15,Card,2026-01-05,19:21:37,153.0
55,119,123,2,420,0,UPI,2026-01-13,12:38:13,840.0
56,167,112,1,240,0,Card,2026-04-26,19:36:59,240.0
57,219,107,4,695,0,UPI,2026-01-02,19:59:51,2780.0
58,74,108,1,695,0,UPI,2026-06-10,11:46:02,695.0
59,30,106,2,300,15,UPI,2026-05-13,13:27:18,510.0
60,96,126,4,60,0,UPI,2026-03-06,21:07:35,240.0
61,104,104,4,390,0,UPI,2026-06-26,12:29:23,1560.0
62,245,120,1,120,0,UPI,2026-06-10,13:27:39,120.0
63,212,105,1,420,0,UPI,2026-03-30,13:23:27,420.0
64,191,120,2,120,0,Card,2026-05-03,19:00:00,240.0
65,138,102,2,380,0,UPI,2026-06-21,13:03:11,760.0
66,191,112,1,240,0,Cash,2026-02-17,19:57:03,240.0
67,98,106,1,300,5,Cash,2026-06-29,14:29:08,285.0
68,227,123,4,420,5,UPI,2026-06-21,22:41:01,1596.0
69,460,114,1,180,10,UPI,2026-02-19,12:13:50,162.0
70,499,116,2,120,10,Card,2026-03-18,19:48:06,216.0
71,188,101,2,695,0,Card,2026-02-25,21:48:06,1390.0
72,400,101,1,695,10,UPI,2026-02-04,19:04:47,625.5
73,452,118,2,150,5,UPI,2026-06-29,12:47:51,285.0
74,318,102,2,380,0,UPI,2026-03-27,18:48:01,760.0
75,475,120,2,120,0,Cash,2026-03-09,18:36:53,240.0
76,370,124,1,180,0,Cash,2026-02-09,21:53:12,180.0
77,171,106,1,300,10,UPI,2026-05-16,12:43:27,270.0
78,193,103,1,320,0,UPI,2026-02-20,20:28:16,320.0
79,123,103,4,320,0,UPI,2026-05-25,20:40:26,1280.0
80,432,117,3,130,15,UPI,2026-02-04,19:20:00,331.5
81,93,115,2,150,0,Cash,2026-06-28,11:27:57,300.0
82,454,126,1,60,5,UPI,2026-03-08,19:28:38,57.0
83,230,120,1,120,5,UPI,2026-01-31,12:57:57,114.0
84,359,126,1,60,0,UPI,2026-01-31,12:16:55,60.0
85,326,105,1,420,0,UPI,2026-05-11,12:40:52,420.0
86,458,128,1,150,0,UPI,2026-05-04,13:39:09,150.0
87,426,108,1,695,0,UPI,2026-06-02,14:47:06,695.0
88,87,101,1,695,0,Cash,2026-03-06,14:01:01,695.0
89,176,108,1,695,10,UPI,2026-05-22,13:42:36,625.5
90,45,112,1,240,0,Cash,2026-03-11,20:42:40,240.0
91,154,104,1,390,0,UPI,2026-06-28,13:07:23,390.0
92,444,106,1,300,0,Cash,2026-04-04,14:59:09,300.0
93,25,111,2,320,0,Card,2026-05-17,13:51:16,640.0
94,451,109,1,650,0,Card,2026-06-15,13:25:43,650.0
95,281,126,2,60,0,UPI,2026-01-04,18:54:51,120.0
96,4,119,1,220,0,Card,2026-06-19,18:22:31,220.0
97,79,102,3,380,0,UPI,2026-01-15,20:59:11,1140.0
98,425,101,3,695,0,Card,2026-04-11,18:34:20,2085.0
99,254,102,3,380,0,UPI,2026-01-10,18:26:45,1140.0
100,290,120,1,120,0,UPI,2026-02-15,20:09:17,120.0
101,150,113,2,220,10,Cash,2026-05-28,13:34:41,396.0
102,144,101,4,695,10,UPI,2026-01-20,20:34:53,2502.0
103,331,110,2,280,0,UPI,2026-04-22,18:31:50,560.0
104,493,113,2,220,5,UPI,2026-01-25,19:19:31,418.0
105,114,104,3,390,0,UPI,2026-01-06,18:50:31,1170.0
106,325,115,1,150,0,UPI,2026-05-13,12:48:02,150.0
107,362,105,2,420,0,Card,2026-03-16,20:24:37,840.0
108,59,107,1,695,10,UPI,2026-01-16,18:53:46,625.5
109,344,123,2,420,0,Card,2026-01-08,20:26:42,840.0
110,377,113,2,220,5,UPI,2026-02-14,19:46:26,418.0
111,17,118,2,150,0,UPI,2026-01-07,19:23:24,300.0
112,156,129,1,180,0,UPI,2026-05-05,13:56:32,180.0
113,496,117,1,130,0,Cash,2026-05-06,14:38:22,130.0
114,284,128,1,150,0,UPI,2026-01-25,20:01:37,150.0
115,183,101,1,695,10,UPI,2026-03-19,13:30:42,625.5
116,118,124,1,180,0,UPI,2026-02-18,19:01:38,180.0
117,367,109,1,650,0,UPI,2026-03-07,13:14:16,650.0
118,258,105,1,420,0,UPI,2026-04-30,21:18:20,420.0
119,358,101,1,695,0,Cash,2026-05-16,13:35:59,695.0
120,200,118,1,150,0,UPI,2026-01-03,21:55:58,150.0
121,203,115,1,150,0,UPI,2026-05-16,19:00:57,150.0
122,455,123,2,420,0,Card,2026-05-19,19:13:22,840.0
123,368,128,2,150,15,Cash,2026-03-17,19:32:49,255.0
124,477,106,5,300,10,UPI,2026-03-16,20:28:43,1350.0
125,305,112,1,240,0,UPI,2026-01-19,20:31:27,240.0
126,18,103,2,320,5,Cash,2026-06-24,13:12:25,608.0
127,104,102,2,380,0,Card,2026-01-09,19:48:10,760.0
128,425,123,2,420,5,Card,2026-02-27,14:46:36,798.0
129,476,123,3,420,0,Card,2026-06-26,14:06:33,1260.0
130,18,127,1,90,0,Cash,2026-01-01,20:59:37,90.0
131,242,122,2,320,0,Card,2026-06-21,21:26:08,640.0
132,333,109,1,650,0,UPI,2026-05-21,19:49:13,650.0
133,370,115,1,150,0,UPI,2026-02-10,13:59:38,150.0
134,3,102,2,380,0,UPI,2026-04-04,19:58:20,760.0
135,58,123,2,420,0,UPI,2026-05-12,19:16:20,840.0
136,100,113,2,220,5,UPI,2026-03-09,14:32:30,418.0
137,39,124,1,180,0,UPI,2026-06-24,14:08:49,180.0
138,131,118,2,150,15,UPI,2026-03-18,12:12:04,255.0
139,425,120,1,120,0,UPI,2026-02-19,22:05:59,120.0
140,166,121,1,350,0,Card,2026-06-23,14:11:53,350.0
141,115,108,1,695,0,UPI,2026-04-09,19:21:16,695.0
142,377,105,2,420,0,Cash,2026-04-10,12:23:17,840.0
143,134,121,2,350,0,UPI,2026-06-02,18:18:22,700.0
144,492,110,3,280,10,UPI,2026-04-19,19:53:34,756.0
145,152,122,1,320,5,UPI,2026-02-18,21:20:25,304.0
146,184,101,2,695,0,Cash,2026-01-18,12:05:48,1390.0
147,460,104,1,390,0,Card,2026-06-19,14:02:01,390.0
148,266,103,2,320,0,UPI,2026-01-08,19:45:54,640.0
149,450,114,4,180,0,UPI,2026-04-11,19:30:53,720.0
150,275,125,2,120,0,Cash,2026-04-25,18:43:13,240.0
151,403,109,1,650,15,Cash,2026-05-27,20:27:20,552.5
152,102,118,2,150,0,UPI,2026-05-16,14:53:42,300.0
153,439,120,1,120,0,Cash,2026-03-19,19:35:30,120.0
154,493,123,1,420,0,UPI,2026-01-12,20:59:24,420.0
155,215,114,1,180,15,UPI,2026-04-28,18:26:35,153.0
156,170,104,1,390,0,Card,2026-01-06,21:00:55,390.0
157,257,104,1,390,10,Card,2026-06-02,18:30:02,351.0
158,140,106,2,300,0,UPI,2026-02-22,12:44:51,600.0
159,36,120,2,120,10,UPI,2026-05-01,12:46:51,216.0
160,85,104,2,390,15,UPI,2026-05-16,19:56:59,663.0
161,202,104,2,390,0,UPI,2026-01-06,19:28:18,780.0
162,56,119,1,220,0,Cash,2026-06-01,13:45:04,220.0
163,377,123,2,420,0,Cash,2026-01-17,18:32:40,840.0
164,49,124,1,180,0,Card,2026-05-20,20:25:00,180.0
165,253,108,1,695,5,Card,2026-06-24,21:40:32,660.25
166,312,119,1,220,0,UPI,2026-04-23,21:54:46,220.0
167,342,118,5,150,0,UPI,2026-05-18,12:48:52,750.0
168,289,129,1,180,10,UPI,2026-06-27,14:00:13,162.0
169,377,101,1,695,0,UPI,2026-02-25,21:29:34,695.0
170,478,117,2,130,0,UPI,2026-05-01,19:25:05,260.0
171,451,105,2,420,0,Cash,2026-03-10,11:23:15,840.0
172,302,118,2,150,15,UPI,2026-01-22,13:52:55,255.0
173,348,109,1,650,0,UPI,2026-01-09,11:58:14,650.0
174,191,115,1,150,0,UPI,2026-03-05,12:08:42,150.0
175,374,116,1,120,0,Cash,2026-06-05,12:30:07,120.0
176,395,117,1,130,10,UPI,2026-06-16,19:02:30,117.0
177,167,130,1,220,5,UPI,2026-04-14,18:31:22,209.0
178,9,125,1,120,0,Cash,2026-04-30,21:09:24,120.0
179,450,121,1,350,0,UPI,2026-03-31,19:38:43,350.0
180,73,116,2,120,0,Card,2026-04-12,13:57:31,240.0
181,252,107,3,695,0,UPI,2026-06-15,19:39:52,2085.0
182,122,105,3,420,0,Cash,2026-03-31,19:38:08,1260.0
183,206,105,1,420,0,UPI,2026-01-17,21:15:12,420.0
184,269,107,1,695,0,Cash,2026-04-19,18:39:13,695.0
185,189,118,1,150,0,Card,2026-01-01,20:04:28,150.0
186,225,105,3,420,0,Card,2026-05-10,19:57:10,1260.0
187,469,121,1,350,0,Card,2026-02-19,13:17:13,350.0
188,69,119,5,220,0,UPI,2026-06-13,11:32:11,1100.0
189,345,105,3,420,0,UPI,2026-01-06,19:19:25,1260.0
190,373,101,3,695,0,Cash,2026-05-31,19:34:14,2085.0
191,393,125,1,120,10,UPI,2026-02-12,20:57:38,108.0
192,142,108,3,695,0,Cash,2026-03-09,19:55:59,2085.0
193,90,123,2,420,5,Cash,2026-04-10,19:36:06,798.0
194,189,129,1,180,0,UPI,2026-03-06,13:04:02,180.0
195,87,111,3,320,0,UPI,2026-03-11,19:25:40,960.0
196,237,121,1,350,0,UPI,2026-01-08,18:51:47,350.0
197,400,129,3,180,0,Cash,2026-03-05,11:29:40,540.0
198,247,116,1,120,0,Card,2026-03-18,12:17:52,120.0
199,291,110,3,280,0,Cash,2026-04-01,19:35:43,840.0
200,75,102,2,380,0,Card,2026-04-20,20:37:39,760.0
201,454,116,3,120,0,Card,2026-03-26,18:33:57,360.0
202,455,123,4,420,0,Card,2026-05-16,19:00:47,1680.0
203,104,120,2,120,0,Card,2026-02-09,14:04:11,240.0
204,158,102,4,380,10,UPI,2026-04-25,19:09:21,1368.0
205,303,126,1,60,0,Card,2026-04-04,14:57:33,60.0
206,297,128,1,150,5,UPI,2026-04-15,18:44:37,142.5
207,117,127,1,90,0,UPI,2026-01-22,11:09:05,90.0
